kind;name;keywords
hard;Поиск клиентов;активные продажа
hard;Поиск клиентов;активные продажи
hard;Поиск клиентов;активный поиск
hard;Поиск клиентов;активный поиск клиентов
hard;Поиск клиентов;новые клиенты
hard;Поиск клиентов;поиск
hard;Поиск клиентов;поиск клиентов
hard;Поиск клиентов;потенциальные клиенты
hard;Поиск клиентов;привлечение
hard;Поиск клиентов;привлечение клиентов
hard;Холодные звонки;звонки
hard;Холодные звонки;интернет
hard;Холодные звонки;телефон
hard;Холодные звонки;телефонные переговоры
hard;Холодные звонки;холодные
hard;Подготовка документации;ведение документооборота
hard;Подготовка документации;ведение отчётности
hard;Подготовка документации;выставление счетов
hard;Подготовка документации;заключение договоров
hard;Подготовка документации;коммерческие предложения
hard;Консультирование;консультация клиентов
hard;Консультирование;консультирование
hard;Консультирование;консультирование клиентов
hard;Консультирование;помощь
hard;Клиентская база;база
hard;Клиентская база;клиентская база
hard;Клиентская база;существующая клиентская база
hard;Работа с ПК;пк
hard;Работа с ПК;уверенный пользователь
hard;Работа с поставщиком;поставщики
hard;Работа с дебиторской задолженностью;дебиторская задолженность
hard;Пассивные продажи;входящие
hard;Высшее образование;высочайшее образование
hard;Отчетность;отчётность
hard;Работа с CRM;crm
soft;Целеустремленность;активная жизненная позиция
soft;Целеустремленность;выполнение
soft;Целеустремленность;выполнение плана продаж
soft;Целеустремленность;выставки
soft;Целеустремленность;достижение
soft;Целеустремленность;желание
soft;Целеустремленность;нацеленность
soft;Целеустремленность;результат
soft;Коммуникабельность;грамотная речь
soft;Коммуникабельность;коммуникабельность
soft;Коммуникабельность;общение
soft;Коммуникабельность;проведение презентаций
soft;Ведение переговоров;ведение переговоров
soft;Ведение переговоров;переговоры
soft;Ведение переговоров;проведение переговоров
soft;Стрессоустойчивость;стрессоустойчивость
soft;Работа в команде;команда
soft;Ответственность;ответственность
